ride_type,use_case,dist_bucket,prod_markup,treat_markup,markup_%delta,markup_airport_equivalent (%delta),prod_pt,treat_pt,pt_airport_equivalent (%delta)
courier_reserve,airport,d1,1.3417,DNE,DNE,DNE,1007.9549,DNE,DNE
courier_reserve,airport,d2,1.2939,DNE,DNE,DNE,1308.7197,DNE,DNE
courier_reserve,airport,d3,1.0281,DNE,DNE,DNE,1486.7359,DNE,DNE
courier_reserve,airport,d4,1.0286,DNE,DNE,DNE,2762.1705,DNE,DNE
courier_reserve,airport,d5,1.23,DNE,DNE,DNE,5063.7232,DNE,DNE
courier_reserve,airport_drop_off,d1,DNE,1.2017,DNE,1.3417 (-10.4345%),DNE,2508.9281,1007.9549 (148.9127%)
courier_reserve,airport_drop_off,d2,DNE,1.2645,DNE,1.2939 (-2.2722%),DNE,4142.1488,1308.7197 (216.5039%)
courier_reserve,airport_drop_off,d3,DNE,1.0201,DNE,1.0281 (-0.7781%),DNE,4014.6019,1486.7359 (170.0279%)
courier_reserve,airport_drop_off,d4,DNE,1.025,DNE,1.0286 (-0.35%),DNE,5381.8113,2762.1705 (94.8399%)
courier_reserve,airport_drop_off,d5,DNE,1.2,DNE,1.23 (-2.439%),DNE,6734.3308,5063.7232 (32.9917%)
courier_reserve,airport_pick_up,d1,DNE,1.2823,DNE,1.3417 (-4.4272%),DNE,2611.833,1007.9549 (159.122%)
courier_reserve,airport_pick_up,d2,DNE,1.3499,DNE,1.2939 (4.328%),DNE,4303.6816,1308.7197 (228.8467%)
courier_reserve,airport_pick_up,d3,DNE,1.1039,DNE,1.0281 (7.3728%),DNE,3949.2816,1486.7359 (165.6344%)
courier_reserve,airport_pick_up,d4,DNE,1.1304,DNE,1.0286 (9.8969%),DNE,5397.2131,2762.1705 (95.3975%)
courier_reserve,airport_pick_up,d5,DNE,1.3265,DNE,1.23 (7.8455%),DNE,6910.3728,5063.7232 (36.4682%)
courier_reserve,commute,d1,1.3002,1.3002,0.0,DNE,981.5832,981.5832,DNE
courier_reserve,commute,d2,1.2673,1.2673,0.0,DNE,1489.2178,1489.2178,DNE
courier_reserve,commute,d3,0.9867,0.9867,0.0,DNE,1736.3184,1736.3184,DNE
courier_reserve,commute,d4,0.994,0.994,0.0,DNE,2499.4215,2499.4215,DNE
courier_reserve,commute,d5,1.0912,1.0912,0.0,DNE,4548.3482,4548.3482,DNE
courier_reserve,other,d1,1.3238,1.3238,0.0,DNE,969.9599,969.9599,DNE
courier_reserve,other,d2,1.3287,1.3287,0.0,DNE,1477.3296,1477.3296,DNE
courier_reserve,other,d3,1.0397,1.0397,0.0,DNE,1708.5343,1708.5343,DNE
courier_reserve,other,d4,1.0002,1.0002,0.0,DNE,2342.6417,2342.6417,DNE
courier_reserve,other,d5,1.1088,1.1088,0.0,DNE,4297.8763,4297.8763,DNE
courier_reserve,party time,d1,1.342,1.342,0.0,DNE,995.3561,995.3561,DNE
courier_reserve,party time,d2,1.3429,1.3429,0.0,DNE,1495.4991,1495.4991,DNE
courier_reserve,party time,d3,1.0725,1.0725,0.0,DNE,1746.8724,1746.8724,DNE
courier_reserve,party time,d4,1.0026,1.0026,0.0,DNE,2320.9558,2320.9558,DNE
courier_reserve,party time,d5,1.1026,1.1026,0.0,DNE,4152.6687,4152.6687,DNE
standard,airport,d1,1.3883,DNE,DNE,DNE,1181.7758,DNE,DNE
standard,airport,d2,1.3542,DNE,DNE,DNE,1522.1922,DNE,DNE
standard,airport,d3,1.3136,DNE,DNE,DNE,2033.4336,DNE,DNE
standard,airport,d4,1.2895,DNE,DNE,DNE,3763.0301,DNE,DNE
standard,airport,d5,1.2714,DNE,DNE,DNE,6729.3338,DNE,DNE
standard,airport_drop_off,d1,DNE,1.2762,DNE,1.3883 (-8.0746%),DNE,2922.839,1181.7758 (147.326%)
standard,airport_drop_off,d2,DNE,1.2964,DNE,1.3542 (-4.2682%),DNE,4860.6873,1522.1922 (219.3215%)
standard,airport_drop_off,d3,DNE,1.3009,DNE,1.3136 (-0.9668%),DNE,6140.2356,2033.4336 (201.9639%)
standard,airport_drop_off,d4,DNE,1.2888,DNE,1.2895 (-0.0543%),DNE,7892.9936,3763.0301 (109.751%)
